,M,S,P,V,C
14,C,C,5,4,0.5062525
31,B,C,3,1,3.899964
45,A,B,4,3,1.0312537
92,A,A,4,3,1.1062483
161,C,E,6,5,0.46875226
97,C,B,4,1,0.431252
105,C,D,4,2,0.2437507
49,D,D,3,1,0.7000007
17,B,C,5,4,0.46875226
68,C,A,5,2,0.5437528
55,A,E,4,3,1.1437455
67,D,C,3,2,1.2999974
44,B,A,5,3,0.6562536
154,A,D,4,1,0.2437507
124,C,A,3,1,4.299977
104,C,C,4,1,0.2437507
28,C,D,3,2,1.8999897
26,A,A,3,1,5.3000236
151,E,E,3,1,0.7000007
38,C,B,6,5,0.5437528
123,C,E,3,1,1.2999974
54,B,B,4,2,0.7312541
65,C,B,4,2,0.5062525
