,Unnamed: 0,M,S,P,V,C
0,14,3,3,5,4,0.5062525
1,31,2,3,3,1,3.899964
2,45,1,2,4,3,1.0312537
3,92,1,1,4,3,1.1062483
4,161,3,5,6,5,0.46875226
5,97,3,2,4,1,0.431252
6,105,3,4,4,2,0.2437507
7,49,4,4,3,1,0.7000007
8,17,2,3,5,4,0.46875226
9,68,3,1,5,2,0.5437528
10,55,1,5,4,3,1.1437455
11,67,4,3,3,2,1.2999974
12,44,2,1,5,3,0.6562536
13,154,1,4,4,1,0.2437507
14,124,3,1,3,1,4.299977
15,104,3,3,4,1,0.2437507
16,28,3,4,3,2,1.8999897
17,26,1,1,3,1,5.3000236
18,151,5,5,3,1,0.7000007
19,38,3,2,6,5,0.5437528
20,123,3,5,3,1,1.2999974
21,54,2,2,4,2,0.7312541
22,65,3,2,4,2,0.5062525
23,89,3,3,4,2,0.35625148
24,132,5,5,6,5,0.28125095
25,114,5,1,4,3,1.2187401
26,88,2,4,5,4,0.5062525
27,158,4,2,4,3,0.58125305
28,0,5,5,5,4,0.28125095
29,39,3,4,4,1,0.20625044
30,27,1,5,4,2,0.46875226
31,58,5,1,3,2,6.9000983
32,91,3,5,4,3,1.068751
33,5,5,3,4,3,0.8062546
34,46,2,1,4,1,0.8062546
35,138,2,5,4,1,0.20625044
36,126,3,3,3,1,1.8999897
37,59,2,3,4,3,0.9562557
38,82,3,5,5,4,0.46875226
39,63,3,1,6,1,0.5437528
40,149,5,1,4,1,0.88125515
41,13,5,3,3,1,1.1
42,146,2,1,3,1,5.100014
43,1,2,4,6,5,0.5062525
44,36,4,5,3,1,0.5000003
45,137,1,3,5,4,0.5062525
46,56,1,1,4,2,0.88125515
47,41,3,2,4,3,0.88125515
48,25,5,3,6,5,0.39375174
49,43,2,4,4,1,0.2437507
50,8,3,1,6,5,0.76875436
51,66,4,2,3,2,1.6999923
52,125,3,1,4,3,1.0312537
53,24,1,2,6,5,0.58125305
54,118,5,1,4,2,0.99375594
55,76,5,3,4,1,0.28125095
56,75,1,5,5,4,0.5062525
57,30,2,5,4,2,0.35625148
58,53,3,4,5,4,0.5062525
59,93,3,1,6,3,0.5437528
60,102,2,4,3,1,3.899964
61,135,2,2,6,5,0.5437528
62,163,2,5,3,1,3.6999667
63,15,5,2,3,2,1.8999897
64,48,3,5,3,2,4.0999675
65,83,3,1,5,4,0.76875436
66,117,5,4,6,5,0.31875122
67,33,3,1,6,2,0.5437528
68,64,4,1,4,3,0.7312541
